pl_name,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,sy_dist
"Kepler-24 d",1,4,0,11.01831,70.54989,4.24439049,,1156.8100000
"Kepler-122 f",1,5,0,11.23653,72.26222,56.25878850,1.810,1027.4500000
"Kepler-162 b",1,2,0,8.91719,77.82088,6.91986734,1.280,855.6410000
"Kepler-843 b",1,1,0,12.00369,82.18878,2.05387982,2.290,1165.6600000
"Kepler-52 d",1,3,0,18.08721,80.47826,36.44540010,,321.5420000
"Kepler-237 b",1,2,0,16.94089,70.20006,4.71510843,,657.8220000
"Kepler-698 b",1,1,0,13.59929,72.65360,16.32975270,,1995.5700000
"Kepler-1207 b",1,1,0,12.91225,82.15527,13.68237119,1.530,1754.1900000
"Kepler-758 b",1,4,0,10.42657,74.02528,12.10968709,2.980,1502.3200000
"Kepler-271 c",1,3,0,18.46832,73.92797,7.41084314,0.940,404.5420000
"Kepler-515 b",2,1,0,16.67180,83.42371,19.96367208,1.500,
"Kepler-543 b",1,1,0,13.49937,69.94859,13.89961966,2.430,221.8020000
"Kepler-215 c",1,4,0,11.07277,78.35687,14.66722930,1.210,485.9970000
"Kepler-425 b",1,1,0,12.02393,72.57481,3.79701834,9.940,646.6470000
"Kepler-919 b",1,1,0,10.73672,82.33495,11.04603384,1.930,1119.8700000
"Kepler-56 b",1,3,0,10.31441,74.92557,10.50077120,5.680,912.9940000
"Kepler-1480 b",2,1,0,14.68579,81.20839,22.12679948,2.970,500.8920000
"KOI-351 g",1,8,0,19.25567,79.26947,210.60311050,6.860,848.2540000
"Kepler-1552 b",1,1,0,10.36849,71.47973,184.77185300,2.170,769.0960000
"Kepler-149 d",1,3,0,14.28192,69.05421,160.02005970,3.540,571.0340000
"Kepler-284 b",1,2,0,13.32739,80.07785,12.69905011,,1031.9500000
"Kepler-843 b",1,1,0,12.00369,82.18878,2.05388477,,1165.6600000
"Kepler-851 b",1,1,0,13.03779,81.83905,8.50698069,,839.2550000
"Kepler-151 b",1,2,0,10.99626,73.60457,15.22895698,2.980,649.9190000
"Kepler-353 b",2,2,0,8.22729,75.93297,5.79529710,1.080,384.6940000
"Kepler-1080 b",1,1,0,12.01970,82.42453,77.25483960,4.020,1382.8200000
"Kepler-523 b",1,1,0,18.19117,75.41032,5.83599485,1.920,253.2950000
"Kepler-1475 b",1,1,0,10.24795,78.27087,82.17519700,2.240,1568.3800000
"Kepler-174 b",1,3,0,15.33905,74.71852,13.98177228,1.880,384.7570000
"Kepler-537 b",1,1,0,16.72009,82.52041,3.24755522,1.340,439.4000000
"Kepler-742 b",1,1,0,18.76200,76.62996,8.36087070,,489.2530000
"Kepler-42 c",1,3,0,12.54674,76.91718,0.45328742,,40.0595000
"Kepler-203 c",1,3,0,7.89379,75.69361,5.37064587,2.140,703.3020000
"Kepler-188 b",1,2,0,19.64002,73.51949,2.06190736,1.660,968.5440000
"Kepler-609 b",1,1,0,12.58236,76.99356,6.52121067,2.600,1065.8200000
"Kepler-1674 b",1,1,0,11.21376,78.38828,62.56138790,,1012.4800000
"Kepler-1026 b",1,1,0,16.51184,69.90191,36.51576390,,351.2390000
"Kepler-299 c",1,4,0,19.77727,78.26193,6.88584100,1.890,1052.2400000
"Kepler-300 c",1,2,0,12.43657,81.53022,40.71524000,2.260,1098.4500000
"K2-44 b",1,1,0,55.22474,268.46993,5.65621000,3.130,476.7030000
"OGLE-2018-BLG-0740L b",1,1,0,-4.80424,1.73882,5480.00000000,,3200.0000000
"Kepler-229 c",1,3,0,17.34816,78.97779,16.06862959,5.270,826.2650000
"Kepler-670 b",1,1,0,11.72179,82.63553,2.81650485,12.820,939.7440000
"Kepler-705 b",1,1,0,13.13184,73.44989,56.05605380,1.960,276.8810000
"KOI-13 b",3,1,0,16.80645,77.50590,1.76358757,25.800,519.0960000
"Kepler-989 b",1,1,0,20.37813,76.53241,7.96431492,2.440,491.9780000
"Kepler-1060 b",1,1,0,14.65459,70.29069,46.87767240,,946.5650000
"Kepler-350 d",1,3,0,15.11288,70.17289,26.13634430,,956.8590000
"Kepler-123 c",1,2,0,8.63544,76.88818,26.69519440,,1021.6600000
"Kepler-354 c",1,3,0,15.51241,71.83164,16.93481040,,554.0640000
"eps Tau b",1,1,0,-19.92339,177.59682,,,47.5285200
"GJ 27.1 b",1,1,0,-72.72011,309.84569,15.81900000,,23.6062000
"HD 149026 b",1,1,0,43.28357,61.29711,,,75.8643000
"Kepler-224 d",1,4,0,14.52091,79.07683,11.34929400,2.470,782.0880000
"Kepler-225 b",1,2,0,13.78927,79.53972,6.73900100,1.380,561.1010000
"Kepler-169 e",1,5,0,15.17842,71.50909,13.76708539,2.750,406.5290000
