pl_name,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,glat,glon,pl_orbper,pl_rade,sy_dist,pl_eqt,pl_orbeccen
"Qatar-6 b","Transit",2017,"Qatar",2,1,62.92644,28.83441,3.50619500,11.904,100.8480000,1.00600000000e+03,0.000000
"HD 158996 b","Radial Velocity",2018,"Bohyunsan Optical Astronomical Observatory",1,1,30.57740,112.37477,820.20000000,12.300,283.6590000,,0.130000
"HD 68402 b","Radial Velocity",2016,"Multiple Observatories",1,1,-21.30677,287.05452,1103.00000000,13.100,78.4293000,,0.030000
"Kepler-577 b","Transit",2016,"Kepler",1,1,8.36644,72.76119,25.69578251,2.550,524.2470000,3.14000000000e+02,0.000000
"K2-4 b","Transit",2015,"K2",1,1,54.37609,270.75455,10.00341700,2.100,231.8280000,5.63000000000e+02,0.080000
"Kepler-48 e","Radial Velocity",2014,"W. M. Keck Observatory",1,4,6.33882,76.08999,982.00000000,13.400,306.7380000,,
"HAT-P-13 b","Transit",2009,"HATNet",1,2,37.54198,172.49839,2.91625000,14.258,246.8100000,1.74000000000e+03,0.013300
"HD 131664 b","Radial Velocity",2008,"La Silla Observatory",1,1,-12.92984,311.83792,1951.00000000,12.100,52.8128000,,0.640000
"HD 116029 c","Radial Velocity",2018,"W. M. Keck Observatory",2,2,82.97723,13.88354,907.00000000,13.700,123.2450000,,0.038000
"HD 125612 c","Radial Velocity",2009,"La Silla Observatory",2,3,40.39538,331.38949,4.15514000,4.360,57.6207000,,0.049000
"HAT-P-69 b","Transit",2019,"HATNet",1,1,26.20647,222.78554,4.78694910,18.786,341.2630000,1.93000000000e+03,0.000000
"HATS-23 b","Transit",2017,"HATSouth",1,1,-22.61865,346.88498,2.16051560,20.849,639.0040000,1.65400000000e+03,0.114000
"GJ 3323 b","Radial Velocity",2017,"La Silla Observatory",1,2,-27.47443,206.43154,5.36360000,1.230,5.3748400,,0.230000
"GJ 328 b","Radial Velocity",2013,"McDonald Observatory",1,1,27.99859,226.70991,4100.00000000,13.300,20.5266000,,0.370000
"HATS-60 b","Transit",2018,"HATSouth",1,1,-58.32068,48.99978,3.56082900,12.924,486.4740000,1.52800000000e+03,0.191000
"CoRoT-12 b","Transit",2010,"CoRoT",1,1,-2.45441,213.13155,2.82804200,16.140,1126.3700000,1.44200000000e+03,0.070000
"TOI-270 c","Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",1,3,-42.01396,259.77379,5.66017200,2.420,22.4793000,4.24000000000e+02,0.000000
"Kepler-92 c","Transit",2013,"Kepler",1,3,13.31439,73.08205,26.72300000,2.600,477.9920000,7.81000000000e+02,0.040000
"WASP-84 b","Transit",2014,"SuperWASP",1,1,25.83571,224.91107,8.52348650,10.559,100.5880000,7.97000000000e+02,0.000000
